electorate number,electorate name,ACT New Zealand,Animal Justice Party,Aotearoa Legalise Cannabis Party,DemocracyNZ,Freedoms NZ,Green Party,Labour Party,Leighton Baker Party,National Party,New Conservatives,New Nation Party,New Zealand First Party,New Zealand Loyal,NewZeal,Te Pāti Māori,The Opportunities Party (TOP),Women’s Rights Party,Total Valid Party Votes,Informal Party Votes
01,Auckland Central,2259,33,73,20,37,5283,5456,2,7907,20,15,980,140,23,314,749,31,23342,52
02,Banks Peninsula,3242,101,137,105,51,7726,11111,39,13006,49,13,2274,294,266,270,1856,36,40576,188
03,Bay of Plenty,4384,68,138,64,107,2624,6566,46,17769,48,20,3366,546,346,364,691,21,37168,156
04,Botany,2311,83,76,29,91,1546,5767,11,17595,68,25,932,222,103,96,322,14,29291,142
05,Christchurch Central,2046,83,103,60,49,5587,8794,34,9303,61,22,1645,155,81,244,1473,43,29783,128
06,Christchurch East,2267,98,149,80,85,4333,11007,94,9195,148,18,2242,297,154,288,1037,35,31527,156
07,Coromandel,4532,43,127,77,90,2797,7568,26,16638,29,18,4016,1168,212,250,363,22,37976,210
08,Dunedin,2009,42,112,21,36,8911,10990,16,7759,60,16,2051,327,91,445,1365,25,34276,98
09,East Coast,3084,38,115,168,158,2295,9941,85,12969,46,25,3446,418,207,675,345,22,34037,200
10,East Coast Bays,3023,51,77,27,35,2507,4560,8,17498,40,19,1259,297,329,83,456,19,30288,103
11,Epsom,3736,32,37,9,24,3296,4221,0,15168,23,4,789,76,53,158,769,16,28411,85
12,Hamilton East,2525,54,63,23,44,3467,7301,18,12766,75,13,1555,239,148,353,785,28,29457,132
13,Hamilton West,2828,85,116,42,119,2891,8230,13,12631,76,16,2025,241,129,458,754,24,30678,151
14,Hutt South,1884,50,98,43,80,4875,10806,18,11338,38,2,1818,244,165,388,1044,24,32915,120
15,Ilam,2758,38,109,74,37,4578,7556,20,14797,81,25,1397,94,57,175,1549,28,33373,114
16,Invercargill,3516,54,173,40,115,1930,8512,30,14133,44,26,2499,917,184,213,406,39,32831,202
17,Kaikōura,5091,59,137,233,74,2554,7591,78,14932,89,43,3344,657,228,142,541,33,35826,216
18,Kaipara ki Mahurangi,4818,86,128,242,89,3465,6617,17,18930,56,21,2703,652,256,219,667,33,38999,114
19,Kelston,1585,37,74,76,66,3398,9482,10,7877,53,11,1263,166,204,369,487,17,25175,166
20,Mana,1936,65,111,44,92,5059,13718,14,10392,42,15,1944,231,238,602,978,31,35512,142
21,Māngere,395,29,77,11,184,1350,12077,7,3579,39,8,647,59,151,335,146,18,19112,224
22,Manurewa,599,34,92,14,229,1172,10409,12,5807,38,28,800,90,156,352,133,21,19986,229
23,Maungakiekie,2180,33,68,20,61,3282,7008,5,10900,38,7,1069,104,89,193,639,20,25716,100
